Meal_Id,Name,catagory,Veg_Non,Nutrient,Disease,Diet,Review
meal_id25,cheesy paneer cigar roll r,paneer,veg,phosphorus, obesity, vegan_diet,8
meal_id32,cabbage pulao r,pulao,veg,vitamin_k, obesity goitre kidney_disease, high_protien_diet alkaline_diet,4
meal_id33,chana palak rice r,rice,veg,carbohydrates, heart_disease goitre rickets diabeties kidney_disease, ketogenic_diet high_protien_diet vegan_diet,5
meal_id34,chilli cheese garlic paratha r,paratha,veg,calcium, obesity heart_disease diabeties kidney_disease cancer, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,3
meal_id28,air fryer aloo corn cutlet r,corn,veg,carbohydrates, diabeties, high_protien_diet vegan_diet,7
meal_id35,cheesy pasta with vegetables r,pasta,veg,potassium, obesity heart_disease goitre eye_disease rickets scurvy diabeties kidney_disease anemia cancer pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,1
meal_id36,mango bubble tea r,tea,veg,manganese, heart_disease pregnancy, ketogenic_diet,4
meal_id8,apple oats chia seeds smoothie r,smoothie,veg,magnesium, obesity heart_disease goitre hypertension diabeties anemia cancer pregnancy, ketogenic_diet high_protien_diet vegan_diet high_fiber_diet,9
meal_id10,turmeric milk tea r,tea,veg,vitamin_d, rickets heart_disease cancer kidney_disease, ketogenic_diet high_protien_diet low_fat_diet,7
meal_id37,elaneer shake (tender coconut milk shake) r,milk,veg,vitamin_d, rickets kidney_disease goitre cancer, ketogenic_diet high_protien_diet low_fat_diet,6
meal_id38,mango ice tea r,tea,veg,manganese, heart_disease goitre pregnancy, ketogenic_diet vegan_diet,8
meal_id39,strawberry frozen margarita r,margarita,veg,vitamin_c, scurvy goitre, vegan_diet high_fiber_diet,4
meal_id14,konkani fried chicken r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia cancer pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,2
meal_id40,sliced garlic chicken r,chicken,non-veg,iron, obesity heart_disease goitre rickets scurvy hypertension kidney_disease diabeties anemia cancer pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,8
meal_id41,masala chicken egg bhurji sandwich r,egg,non-veg,vitamin_a, obesity eye_disease goitre rickets hypertension diabeties kidney_disease anemia pregnancy, high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,2
meal_id42,chicken keema matar r,matar,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,3
meal_id43,butterfly chicken r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,2
meal_id44,diet cola chicken r,chicken,non-veg,iron, obesity heart_disease goitre eye_disease rickets scurvy hypertension kidney_disease diabeties anemia cancer pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,2
meal_id45,himachali chicken curry r,curry,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,7
meal_id16,peri peri chicken rolls r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,9
meal_id46,gongura chicken curry r,curry,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,1
meal_id47,black pepper chicken curry r,curry,non-veg,iron, obesity eye_disease goitre rickets scurvy hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,4
meal_id24,tandoori chicken puffs r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,9
meal_id27,chicken schezwan spring rolls r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,6
meal_id48,white butter chicken r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,9
meal_id49,green butter chicken gravy r,chicken,non-veg,iron, obesity heart_disease goitre rickets scurvy hypertension kidney_disease diabeties anemia pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,8
meal_id29,tandoori chicken kathi roll r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,4
meal_id50,chicken shu mai r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,5
meal_id51,air fryer chicken tikka r,tikka,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,1
meal_id52,lahori kadhai chicken r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,9
meal_id53,peshawari chicken biryani r,biryani,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,2
meal_id54,achaari chicken kathi roll r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,1
meal_id55,chicken pan-fried momos r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,3
meal_id56,chicken pepperoni garlic bread r,bread,non-veg,iron, obesity heart_disease goitre rickets scurvy hypertension kidney_disease diabeties anemia cancer pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,1
meal_id57,tandoori chicken strips r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,9
meal_id58,bengali-style pepper chicken r,chicken,non-veg,iron, obesity eye_disease goitre rickets scurvy hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,5
meal_id59,chettinad chicken biryani r,biryani,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,3
meal_id60,boiled chicken bharta r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,5
meal_id61,chicken samosa r,samosa,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,3
meal_id62,tandoori chicken tacos r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,10
meal_id63,creamy chicken shawarma in a pan r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,8
meal_id64,tibetan-style chicken thukpa r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,4
meal_id65,butter chicken kathi roll r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,3
meal_id66,fried chicken burger r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia cancer pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,5
meal_id67,bbq mango chicken r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,6
meal_id68,chicken egg parantha roll r,parantha,non-veg,vitamin_a, obesity eye_disease goitre rickets hypertension diabeties kidney_disease anemia pregnancy, ketogenic_diet high_protien_diet vegan_diet low_fat_diet,7
meal_id69,mango chicken curry r,curry,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,6
meal_id70,nepalese chicken choila r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,3
meal_id71,crispy thread chicken r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,5
meal_id72,roast chicken with jus lee r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,4
meal_id73,goan chicken croquette r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,9
meal_id74,restaurant-style xo chicken fried rice r,rice,non-veg,iron, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,9
meal_id75,punjabi-style hariyali chicken r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,7
meal_id76,chicken masale bhaat r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,2
meal_id77,chicken yakhni pulao r,pulao,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,8
meal_id78,lucknowi-style chicken masala r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,3
meal_id79,palak chicken r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,4
meal_id80,chicken gyro r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,5
meal_id81,chicken tawa boti r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,10
meal_id82,old delhi-style butter chicken r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,6
meal_id83,one pot chicken pasta r,pasta,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,6
meal_id84,chicken malai kofta r,kofta,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,7
meal_id85,roasted turkey r,turkey,veg,iron, kidney_disease anemia goitre pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet,9
meal_id86,kadaknath chicken curry r,curry,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,4
meal_id87,keto butter chicken r,chicken,non-veg,iron, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,5
meal_id88,lamb and almond korma r,korma,non-veg,iron, goitre, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet,1
meal_id89,nilgiri turkey korma r,korma,veg,iron, goitre pregnancy, ketogenic_diet high_protien_diet vegan_diet alkaline_diet,1
meal_id90,andhra crab meat masala r,crab,non-veg,potassium, obesity heart_disease hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet high_protien_diet vegan_diet,6
meal_id91,meat lovers pizza r,pizza,non-veg,potassium, obesity heart_disease hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet high_protien_diet vegan_diet,10
meal_id92,cajun spiced turkey wrapped with bacon r,wrapped,non-veg,iron, goitre cancer pregnancy, ketogenic_diet high_protien_diet vegan_diet alkaline_diet,4
meal_id93,lamb and chargrilled bell pepper soup r,soup,non-veg,iron, obesity eye_disease goitre scurvy hypertension kidney_disease pregnancy, ketogenic_diet vegan_diet alkaline_diet high_fiber_diet,6
meal_id94,singapore chilli fish r,fish,non-veg,vitamin_a, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet vegan_diet alkaline_diet low_fat_diet,3
meal_id95,sindhi fish curry r,curry,non-veg,vitamin_a, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet vegan_diet alkaline_diet low_fat_diet,2
meal_id96,black pepper crusted king fish r,fish,non-veg,vitamin_a, obesity heart_disease goitre eye_disease rickets scurvy hypertension kidney_disease diabeties anemia cancer pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,3
meal_id97,grilled norwegian salmon r,salmon,non-veg,calcium, heart_disease goitre rickets diabeties pregnancy, ketogenic_diet high_protien_diet vegan_diet low_fat_diet,4
meal_id98,prawns and fish with chimichurri r,fish,non-veg,vitamin_a, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet vegan_diet alkaline_diet low_fat_diet,7
meal_id99,steamed fish in banana leaves r,banana,non-veg,vitamin_a, obesity heart_disease goitre rickets scurvy hypertension kidney_disease diabeties anemia cancer pregnancy, alkaline_diet high_fiber_diet ketogenic_diet vegan_diet low_fat_diet,2
meal_id100,karwar fish curry r,curry,non-veg,vitamin_a, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet vegan_diet alkaline_diet low_fat_diet,4
meal_id101,cheddar cheese sole fish tikka r,tikka,non-veg,vitamin_a, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,2
meal_id102,fish tikka r,tikka,non-veg,vitamin_a, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet vegan_diet alkaline_diet low_fat_diet,6
meal_id103,tray roast leg of lamb r,lamb,non-veg,iron, pregnancy, ketogenic_diet vegan_diet alkaline_diet high_fiber_diet,10
meal_id104,malabari fish curry r,curry,non-veg,vitamin_a, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet vegan_diet alkaline_diet low_fat_diet,6
meal_id105,portugese fish stew r,fish,non-veg,vitamin_a, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet vegan_diet alkaline_diet low_fat_diet,8
meal_id106,malabar fish curry r,curry,non-veg,vitamin_a, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet vegan_diet alkaline_diet low_fat_diet,7
meal_id107,surmai curry with lobster butter rice r,rice,veg,carbohydrates, heart_disease goitre rickets diabeties kidney_disease, ketogenic_diet high_protien_diet vegan_diet high_fiber_diet,10
meal_id108,seared salmon in tabasco butter r,butter,non-veg,calcium, heart_disease goitre rickets diabeties pregnancy, high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,6
meal_id109,"risotto lobster with parmesan egg pancake, confit tomatoes and coral tuille r",egg,non-veg,vitamin_c, obesity heart_disease goitre eye_disease rickets hypertension kidney_disease diabeties cancer pregnancy, ketogenic_diet high_protien_diet low_fat_diet,3
meal_id110,fish skewers with coriander and red wine vinegar dressing r,wine,non-veg,vitamin_a, obesity heart_disease goitre eye_disease rickets scurvy hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet vegan_diet alkaline_diet low_fat_diet,9
meal_id111,goan prawn curry &amp; baked rice canapes r,rice,veg,carbohydrates, heart_disease goitre rickets hypertension diabeties kidney_disease, ketogenic_diet high_protien_diet vegan_diet,7
meal_id112,bihari fish curry r,curry,non-veg,vitamin_a, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet vegan_diet alkaline_diet low_fat_diet,8
meal_id113,fish with jamun sauce r,sauce,non-veg,vitamin_a, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet vegan_diet alkaline_diet low_fat_diet,9
meal_id114,beer batter fish fingers r,fish,non-veg,vitamin_a, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet vegan_diet alkaline_diet low_fat_diet,9
meal_id115,malabar fish biryani r,biryani,non-veg,vitamin_a, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet vegan_diet alkaline_diet low_fat_diet,8
meal_id116,prawn and litchi salad r,salad,veg,fiber, rickets diabeties kidney_disease goitre, ketogenic_diet high_protien_diet low_fat_diet high_fiber_diet,7
meal_id32,cabbage pulao r,pulao,veg,vitamin_k, obesity goitre kidney_disease, high_protien_diet alkaline_diet,1
meal_id33,chana palak rice r,rice,veg,carbohydrates, heart_disease goitre rickets diabeties kidney_disease, ketogenic_diet high_protien_diet vegan_diet,9
meal_id117,coorgi ghee rice r,rice,veg,carbohydrates, heart_disease goitre rickets diabeties kidney_disease, ketogenic_diet high_protien_diet vegan_diet,7
meal_id118,mexican fried rice r,rice,veg,carbohydrates, heart_disease goitre rickets diabeties kidney_disease cancer, ketogenic_diet high_protien_diet vegan_diet alkaline_diet,7
meal_id53,peshawari chicken biryani r,biryani,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,3
meal_id119,cucumber rice r,rice,veg,carbohydrates, heart_disease goitre rickets diabeties kidney_disease, ketogenic_diet high_protien_diet vegan_diet,7
meal_id7,no-oil vegetable pulao r,pulao,veg,carbohydrates, scurvy heart_disease kidney_disease, high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,5
meal_id59,chettinad chicken biryani r,biryani,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,10
meal_id120,cucumber curd rice r,rice,veg,carbohydrates, heart_disease goitre rickets diabeties kidney_disease, ketogenic_diet high_protien_diet vegan_diet,7
meal_id74,restaurant-style xo chicken fried rice r,rice,non-veg,iron, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,2
meal_id121,singapore fried rice r,rice,veg,carbohydrates, heart_disease goitre rickets diabeties kidney_disease cancer, ketogenic_diet high_protien_diet vegan_diet alkaline_diet,6
meal_id122,mexican chicken rice r,rice,non-veg,iron, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,2
meal_id123,gongura chicken biryani r,biryani,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,9
meal_id124,thai chicken fried rice r,rice,non-veg,iron, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,6
meal_id125,leftover chicken curry biryani r,biryani,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,7
meal_id126,paneer fried rice r,paneer,veg,phosphorus, heart_disease goitre rickets diabeties kidney_disease cancer, ketogenic_diet high_protien_diet vegan_diet alkaline_diet,7
meal_id127,hariyali chicken biryani r,biryani,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,5
meal_id128,one-pot chicken rice r,rice,non-veg,iron, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,8
meal_id129,chicken mandi biryani r,biryani,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,4
meal_id130,shahi dastarkhwan chicken biryani r,biryani,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,4
meal_id131,chicken seekh kabab pulao r,pulao,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,2
meal_id132,egg keema pulao r,pulao,non-veg,vitamin_a, obesity eye_disease goitre rickets hypertension diabeties kidney_disease pregnancy, ketogenic_diet high_protien_diet low_fat_diet,8
